"id","numero_carte_credit","solde","client_id"
"72","3791-782799-67084","7994.29","72"
"73","6304807643161647","6239.56","73"
"74","6759-5333-5755-8033-31","5453.86","74"
"75","6771-8966-3869-7214","6986.72","75"
"76","6759-2011-4727-6469-73","7731.79","76"
"77","6767-2441-4404-8995-500","2783.46","77"
"78","6011-8326-8979-5573","8448.76","78"
"79","3681-627517-3000","1692.2","79"
"80","5019-9443-8178-8733","2698.05","80"
"81","6759-7679-1397-6970-31","5426.76","81"
"82","4040953319953","5653.25","82"
"83","3481-601564-98449","5445.69","83"
"84","4781013312922","3334.63","84"
"85","6771-8935-8842-7882","8851.08","85"
"86","4986-3133-9582-4904","1166.61","86"
"87","4418584487987","8580.08","87"
"88","3686-094011-5541","7970.84","88"
"89","3528-4205-4464-6281","810.82","89"
"90","3529-7252-3552-9680","2634.36","90"
"91","3733-117432-50201","2571.14","91"
"92","6007-2244-2182-9496","5083.59","92"
"93","3688-700511-0844","5141.99","93"
"94","6759-9649-5350-2090","9120.09","94"
"95","3529-4950-5280-6211","4017.66","95"
"96","4380297888192","1772.64","96"
"97","6771-8910-4005-3692","434.95","97"
"98","6007-2264-3420-4500","5787.01","98"
"99","6709285801921873","2544.97","99"
"100","6516-5234-0399-3285","1113.2","100"
"101","6767-8318-1011-8867-83","269.76","101"
"102","6771834190550000","4984.44","102"
"103","6304370654585212","2466.97","103"
"104","6771654972446775","1678.5","104"
"105","6007-2274-7821-6525","9358.06","105"
"106","5019-9414-7648-5787","7505.94","106"
"107","6706727408784595","9497.63","107"
"108","6771-8988-4875-8596","4850.87","108"
"109","3528-3792-1516-2830","3404.45","109"
"110","5019-7370-9774-0885","818.03","110"
"111","3684-548248-9768","5785.79","111"
"112","6007-2241-0669-7663","8720.91","112"
"113","6771-8983-9426-2159","2185.57","113"
"114","6767-8105-2281-7835-82","3956.42","114"
"115","5019-9364-2840-1908","1692.81","115"
"116","5019-0341-7419-6177","1795.34","116"
"117","3744-640967-58673","6239.08","117"
"118","6767-5595-7655-5423-50","1947.32","118"
"119","3528-6360-8524-5734","9558.56","119"
"120","6771-8955-2098-3450","9823.73","120"
"121","3528-4153-9204-2039","119.95","121"
"122","6706872645167954","6744.66","122"
"123","6007-2200-7168-9347","4031.39","123"
"124","6759-3409-4423-2305","9489.62","124"
"125","3529-0222-1458-6471","9708.58","125"
"126","6706523549957400","7579.72","126"
"127","6709053274144476","1820.26","127"
"128","3478-263793-15872","4548.81","128"
"129","4033810040672","2384.89","129"
"130","6767-2168-2734-4674-712","2234.36","130"
"131","6767-7253-3649-8763-523","5468.86","131"
"132","3427-111039-38642","152.98","132"
"133","6007-2271-7783-1632","9014.71","133"
"134","6007-2253-1839-7802","3672.15","134"
"135","3529-3006-3899-0895","3847.58","135"
"136","3688-566696-4962","3138.29","136"
"137","6767-9736-1262-2416-629","2555.56","137"
"138","3436-020708-38676","7574.99","138"
"139","3528-7199-1216-2999","5813.72","139"
"140","6771-8962-3269-2215","6959.77","140"
"141","6759-2094-8685-9889-96","6023.01","141"
"142","3704-943227-75336","8866.9","142"
"143","5019-4341-2021-1197","4001.68","143"
"144","5019-8398-7609-4698","851.52","144"
"145","6771258880991250","6442.19","145"
"146","5019-3800-0072-3837","1344.13","146"
"147","6011-7531-0817-5876","7148.84","147"
"148","6007-2203-4669-7323","3322.67","148"
"149","6011-7277-0749-7733","8250.88","149"
"150","3733-742001-44259","9494.41","150"
"151","6706625384654222","9684.4","151"
"152","6771490299788239","6765.86","152"
"153","3528-4927-9784-9078","7810.04","153"
"154","6304124617179658","3220.19","154"
"155","4843-3060-8688-5179","8808.99","155"
"156","3689-011469-9038","9917.03","156"
"157","5019-2931-2413-6325","7736.15","157"
"158","6771206288929968","5833.81","158"
"159","6011-7315-9138-2191","8731.48","159"
"160","6007-2253-2821-6984","5855.5","160"
"161","5019-6266-0879-7494","4992.15","161"
"162","4512081503401","5750.63","162"
"163","4501892857973","4558.93","163"
"164","3528-1544-4888-3555","6905.98","164"
"165","3433-571598-58075","2668.09","165"
"166","6007-2239-2880-1495","6285.72","166"
"167","3529-9192-6112-3894","6183.86","167"
"168","3687-795078-3802","2006.89","168"
"169","6771-8985-9636-2906","5724.71","169"
"170","3424-698635-70929","1026.83","170"
"171","6767-8500-7835-6741-335","3471.76","171"
"172","6759-4844-6358-8186-71","7757.07","172"
"173","3773-181320-84147","6158.81","173"
"174","6759-6678-9609-7645","1975.96","174"
"175","4602697675212","8054.32","175"
"176","3529-7362-8557-5093","1353.59","176"
"177","3528-5621-0851-8347","3206.11","177"
"178","6771-8990-7444-4570","3029.45","178"
"179","3528-1138-7210-0456","3434.01","179"
"180","3420-020530-05891","9355.75","180"
"181","6771-8907-0632-6764","5128.24","181"
"182","6759-1993-4605-2831-33","1461.54","182"
"183","3529-8748-4616-7132","6222.79","183"
"184","4648-9790-3506-1519","3046.1","184"
"185","6007-2262-4803-8342","8727.18","185"
"186","6706102004426373","7573.84","186"
"187","3528-6094-3662-6753","2419.61","187"
"188","4425-5360-4280-3777","8348.9","188"
"189","6759-4715-3154-2283","817.85","189"
"190","6759-6495-2253-7137","5619.82","190"
"191","6759-1019-5185-4090-63","3237.48","191"
"192","3528-1570-9871-9581","1691.03","192"
"193","5019-6643-2601-6103","8672.42","193"
"194","6767-4175-5503-9397-61","2872.6","194"
"195","6304176184423091","7217.97","195"
"196","6011-6240-1869-7777-3629","4904.49","196"
"197","3753-606337-96631","5659.81","197"
"198","6007-2267-9602-0718","9487.33","198"
"199","3790-220189-85025","3940.1","199"
"200","4656157999116","2443.2","200"
"201","3449-554496-31456","4806.8","201"
"202","5019-2775-4941-5760","8296.59","202"
"203","6011-6296-7625-7815-4857","9117.53","203"
"204","3529-4663-9792-1288","558.62","204"
"205","6011-6217-4635-4683-1629","5820.53","205"
"206","3762-918614-08319","5723.24","206"
"207","3682-062765-1770","5127.83","207"
"208","6007-2207-2253-9735","9492","208"
"209","6759-9464-2490-9970","1720.99","209"
"210","3688-187465-8876","2726.51","210"
"211","6709395525131681","9183.39","211"
"212","4387336420044","8259.46","212"
"213","6563-7760-1618-2983","8722.43","213"
"214","3798-433543-55378","1011.36","214"
"215","3528-2560-6544-6416","100.77","215"
"216","6007-2213-7632-2253","8425.73","216"
"217","5019-1950-2844-1034","6733.69","217"
"218","6007-2282-6531-8946","8575.67","218"
"219","5019-1144-3476-3873","2455.38","219"
"220","3528-0974-1350-4286","5870.3","220"
"221","3528-4886-8044-7616","8551.24","221"
"222","6007-2274-7495-9193","1958.2","222"
"223","6591-6297-7179-6659-0069","9294.47","223"
"224","6007-2259-2517-0857","5952.83","224"
"225","6525-2478-7552-1254","384.15","225"
"226","6759-5907-7103-9450","794.32","226"
"227","3529-3900-1569-6017","1362.09","227"
"228","5019-5643-6180-6279","4579.7","228"
"229","6011-6221-5348-8937-7927","1734.59","229"
"230","3689-625032-0925","8192.85","230"
"231","6706687583056294","7489.51","231"
"232","6709989386426386","7358.03","232"
"233","6709755673579926","9881.09","233"
"234","3772-928443-00317","4866.07","234"
"235","6007-2280-1371-1574","2164.94","235"
"236","3688-125221-9663","5099.96","236"
"237","6011-6208-9972-7395-2323","2527.12","237"
"238","4350-3103-0502-4201","9094.48","238"
"239","6508-6269-2310-9815-9120","6856.33","239"
"240","6771-8919-9622-7084","1573.05","240"
"241","6706547282087810","5871.19","241"
"242","3528-0722-8707-1530","4594.51","242"
"243","3687-115365-9794","7796.88","243"
"244","6767-6318-9693-2771","3012.51","244"
"245","6771-8919-1625-4093","5419.56","245"
"246","6011-7430-9204-5672","2387.99","246"
"247","6706235646978235","4179.36","247"
"248","6771-8914-1539-5769","6469.99","248"
"249","6771-8908-2406-7092","5155.38","249"
"250","6534-2788-0426-5175","8866.44","250"
"251","6007-2240-1455-2513","113.31","251"
"252","3529-3137-7466-5254","787.31","252"
"253","6569-0159-2147-7632","8354.7","253"
"254","6771-8907-4519-1856","2804.77","254"
"255","6771-8962-9836-7819","6619.95","255"
"256","6011-8231-6533-4656","9382.59","256"
"257","3528-5476-9360-7233","4226.85","257"
"258","6304455766175364","3184.56","258"
"259","6011-6226-7192-4578-0808","1559.72","259"
"260","6709426320058710","1625.39","260"
"261","3681-551965-9519","9379.09","261"
"262","6007-2252-9648-5777","9875.66","262"
"263","6007-2207-3343-5543","7903.4","263"
"264","6585-6214-5372-6320-0842","9945.85","264"
"265","3529-6952-9804-3475","2026.91","265"
"266","3686-819219-5111","2677.91","266"
"267","6771-8950-5916-0454","6313.44","267"
"268","6007-2249-2046-5735","7692.3","268"
"269","6767-3135-5072-2067","769.35","269"
"270","6304627521894196","8461.39","270"
"271","6011-6268-6780-9003-6022","4641.12","271"
"272","6767-8566-0162-4419","8909.91","272"
"273","6767-0578-6354-2344-36","9496.87","273"
"274","6577-6210-2899-0933-6002","9388.22","274"
"275","6007-2222-5728-8241","2975.24","275"
"276","6771-8972-1678-8730","8986.3","276"
"277","6706195098723846","8650.44","277"
"278","3529-1047-9062-4932","1795.81","278"
"279","5019-1350-4262-4009","5497.44","279"
"280","6709599774278438","7353.76","280"
"281","3741-221520-36752","3911.18","281"
"282","6771-8911-8340-2227","8365.25","282"
"283","5019-5670-3429-2793","4984.49","283"
"284","6007-2225-1563-9458","1653.54","284"
"285","6011-6220-8570-5035-5823","9136.56","285"
"286","6771-8935-4849-3883","2050.32","286"
"287","6706630409579065","888.13","287"
"288","4752-2064-9198-8197","9856.91","288"
"289","3529-8172-4729-1860","4619.81","289"
"290","3529-9840-9456-1793","1690.53","290"
"291","3416-077865-25261","8064.18","291"
"292","5019-7194-5638-0222","4120.27","292"
"293","6597-0712-2630-2393","4425.21","293"
"294","5019-7995-8515-4995","1488.78","294"
"295","3733-366016-83698","2795.71","295"
"296","3787-311092-95414","4922.07","296"
"297","6007-2231-1577-1600","4002.13","297"
"298","6587-1848-9685-0153","137.84","298"
"299","6771068637286239","6350.57","299"
"300","4911-7227-7042-9248","1322.19","300"
"301","6588-6299-7026-7637-2043","4598.47","301"
"302","5019-6222-8845-7533","7010.3","302"
"303","6304969095498065","9771.24","303"
"304","6759-5809-1632-9040-82","1195.39","304"
"305","6771162686419062","6185.73","305"
"306","3528-6930-8895-0273","5697.06","306"
"307","6771121260255029","4682.96","307"
"308","6767-5402-5427-6740-82","8459.5","308"
"309","6709589154152774","7936.21","309"
"310","6767-5017-0035-0994-841","5849.42","310"
"311","6007-2229-1494-1323","3864.23","311"
"312","6771629358925410","7450.62","312"
"313","6767-2600-6332-9171","9597.5","313"
"314","6578-6249-5668-6771-5960","3948.29","314"
"315","6007-2282-3845-7615","7621.07","315"
"316","3682-173422-0467","5390.84","316"
"317","4698-9751-4958-6382","5728.76","317"
"318","6706890021346190","343.87","318"
"319","3710-149723-00604","8703.55","319"
"320","6767-0477-7899-8949","6351.13","320"
"321","6709986748941276","5727.4","321"
"322","3529-2135-3564-0887","4172.71","322"
"323","6767-1125-9554-8567-850","2877.95","323"
"324","6759-8845-9120-5226-321","6019.87","324"
"325","3682-760688-5089","9036.58","325"
"326","6771-8926-6628-6657","2252.97","326"
"327","6007-2221-2147-6857","3455.92","327"
"328","6535-1526-2672-6665","1326.41","328"
"329","3528-6063-6033-3588","9406.71","329"
"330","3529-3171-5756-9330","7679.24","330"
"331","6007-2288-0412-5620","3656.39","331"
"332","3705-726919-77771","7949.15","332"
"333","6007-2221-5319-6340","8278.47","333"
"334","6759-4619-7982-5993","8751.34","334"
"335","3529-1632-3169-9077","1952.99","335"
"336","6759-1144-7103-0360","4109.61","336"
"337","6706784330126767","1219.18","337"
"338","3688-129078-3209","5042.46","338"
"339","3687-893222-1192","609.04","339"
"340","6767-1568-0789-7923-098","9432.71","340"
"341","6007-2204-0568-5326","3452.16","341"
"342","6759-2236-8260-3143-265","498.89","342"
"343","5019-2605-7825-6537","9045.09","343"
"344","6767-8396-8262-2656-20","2814.72","344"
"345","6007-2268-3736-4216","3247.57","345"
"346","6759-8712-6615-3358-57","9767.45","346"
"347","6007-2299-0924-3128","502.04","347"
"348","6759-5885-3441-1535-449","7729.58","348"
"349","6520-9242-3769-3667","2663.62","349"
"350","3687-862656-4030","722.25","350"
"351","6007-2226-9845-6019","5027.94","351"
"352","4818959960981","8065.95","352"
"353","6562-1938-6694-1974","3740","353"
"354","4768543291197","3057.23","354"
"355","6759-9219-5466-1135","2995.74","355"
"356","6706759035527659","7228.71","356"
"357","5019-0710-1222-5727","7475.13","357"
"358","3528-5239-6929-8478","7747.59","358"
"359","6771464184536722","7824.51","359"
"360","3421-144183-95915","4191.41","360"
"361","6007-2207-4946-0139","5356.9","361"
"362","6011-9998-5770-3943","4022.06","362"
"363","6007-2258-7646-7468","6669.21","363"
"364","5019-7375-6960-2829","6501","364"
"365","4753-6519-3925-4505","7510.98","365"
"366","6007-2202-6030-7446","4876.05","366"
"367","3528-8939-6248-0690","4143.2","367"
"368","3528-0335-4115-2664","3286.6","368"
"369","6771-8934-2670-1548","5590.34","369"
"370","6767-6095-1157-3790","3775.58","370"
"371","6759-4258-7798-3383-392","7804.76","371"
"372","6007-2238-1919-5270","6501.2","372"
"373","6007-2285-1999-3114","1080.08","373"
"374","5019-7099-5888-2486","9600.23","374"
"375","6759-8046-8938-6982-08","1367.85","375"
"376","5019-7288-5639-4493","6271.67","376"
"377","6771-8941-2385-6981","2587.59","377"
"378","6771-8923-3686-3471","2082.24","378"
"379","6767-1793-2329-0918","177.23","379"
"380","6759-8888-8909-2969","2648.51","380"
"381","6007-2288-5239-5562","7858.37","381"
"382","6759-8330-5584-0200-47","8978.48","382"
"383","5019-9038-8994-6110","2336.32","383"
"384","6771-8974-0840-5275","6422.75","384"
"385","6529-6262-4875-1359-4620","4989.86","385"
"386","6007-2295-1378-9201","4244.1","386"
"387","6771-8997-1816-2307","658.27","387"
"388","6767-1327-7920-5821-612","6764.84","388"
"389","6767-5773-2828-4358","8691.09","389"
"390","6576-4209-3860-2340","9927.76","390"
"391","6304820008548654","7729.21","391"
"392","6011-1997-0300-7892","5960.96","392"
"393","5019-0161-8754-4022","6107.15","393"
"394","4321-9890-3676-6176","3666.4","394"
"395","6007-2207-2138-4257","7305.28","395"
"396","6304599913941739","6500.45","396"
"397","3528-8398-0240-3509","1432.62","397"
"398","6007-2207-9887-0998","4685.66","398"
"399","6007-2210-0251-3374","2782.53","399"
"400","6011-8015-2965-7897","1765.96","400"
"401","3529-7672-3163-2464","2029.8","401"
"402","4817371943849","7969.25","402"
"403","6767-5187-9378-7957-23","5805.95","403"
"404","6007-2244-4838-7999","7892.93","404"
"405","6011-6283-0874-0826-1267","1266.16","405"
"406","4135107191124","2423.32","406"
"407","3708-223421-92399","2110.41","407"
"408","6767-2394-4734-8216-387","4928.55","408"
"409","6709169474835174","1563.23","409"
"410","6007-2216-6337-1385","6394.42","410"
"411","3686-395375-6672","1077.36","411"
"412","3528-5484-3212-5198","9073.2","412"
"413","6767-2225-3056-2230-75","5017.64","413"
"414","5019-8487-1128-6898","1714.9","414"
"415","6759-7530-7027-4801-01","1823.37","415"
"416","6771-8939-4914-0745","8632.59","416"
"417","3487-170698-44942","1379.37","417"
"418","6771-8978-2092-6098","4072.18","418"
"419","6556-6227-1597-1697-7544","3967.69","419"
"420","5019-7574-0211-9286","9221.07","420"
"421","6759-8317-3721-3897-60","802.69","421"
"422","6767-3742-8620-7181-653","6120.12","422"
"423","6771-8998-3718-1113","782.36","423"
"424","5019-2012-3144-7915","2354.4","424"
"425","6759-3699-1902-1443","3761.46","425"
"426","5019-5588-7640-8720","417.46","426"
"427","3431-989468-63238","7800.42","427"
"428","6304272597464358","4272.35","428"
"429","6551-5880-4670-2936","5621.78","429"
"430","6011-6259-7433-2139-7659","576.55","430"
"431","5019-3900-6248-6116","9681","431"
"432","6011-6205-5020-4285-5683","3354.39","432"
"433","6767-7774-7572-6607-941","6526.06","433"
"434","6759-7867-2600-3772-766","5461.1","434"
"435","4020-3259-3902-1043","4879.56","435"
"436","3684-321005-2784","9031.22","436"
"437","3471-596986-32714","9705.57","437"
"438","3736-751244-35866","6115.54","438"
"439","6520-4680-6752-1614","1241.29","439"
"440","6007-2258-8281-7748","1352.08","440"
"441","6767-6107-0436-8373-21","1088.22","441"
"442","6007-2262-4111-7135","6699.29","442"
"443","3757-505485-15433","3106.62","443"
"444","4209-3476-5936-9355","6907.11","444"
"445","6771-8930-7869-6731","9742.71","445"
"446","6767-0662-2331-3730-06","3527.68","446"
"447","6011-6254-4144-8781-2783","5751.42","447"
"448","3754-875768-91333","6842.51","448"
"449","6759-3566-7569-3124-78","9688.02","449"
"450","6771-8961-5625-6906","1341.63","450"
"451","6007-2287-3115-1707","3599.91","451"
"452","6706519383843870","2597.67","452"
"453","6767-0735-0506-3005","5962.46","453"
"454","5019-5605-5204-4936","9724.7","454"
"455","6759-1881-5593-4103-44","9710.54","455"
"456","6011-8275-1289-4155","5176.33","456"
"457","6759-9493-9310-9799-161","6127.81","457"
"458","6706847579192327","9864.43","458"
"459","3687-355662-6610","7391.99","459"
"460","6706280122408737","7578.32","460"
"461","3529-9728-3188-0089","1201.16","461"
"462","3529-9709-1871-7471","3839.11","462"
"463","5019-9362-7919-8074","3851.31","463"
"464","6771-8938-0695-1085","558.16","464"
"465","3687-135098-9713","9341.79","465"
"466","6767-0980-0965-4116","5920.41","466"
"467","6007-2285-7177-2414","9443.78","467"
"468","4401798467326","5266.69","468"
"469","6304618324945848","5990.43","469"
"470","4681-8361-6401-4701","501.5","470"
"471","4572179410232","5298.26","471"
"472","6304654808850923","8684.5","472"
"473","3474-271507-88641","5490.68","473"
"474","3688-859328-6897","7902.25","474"
"475","6011-2405-8202-8565","7728.41","475"
"476","6771-8942-9530-7433","7610.41","476"
"477","6007-2220-9850-4145","7130.98","477"
"478","6759-1185-0854-8864","3101.57","478"
"479","3425-998295-46710","4560.3","479"
"480","6759-4506-6100-7388-61","1352.38","480"
"481","3528-0882-6923-9838","7738.95","481"
"482","4370182661234","494.48","482"
"483","6759-8168-4587-0321-897","8482.31","483"
"484","6771402308355876","3763.24","484"
"485","4101015168554","3785.67","485"
"486","6759-2077-1348-3510","8094.49","486"
"487","6007-2234-8613-4032","3589.75","487"
"488","6759-5326-8634-8245-489","8849.2","488"
"489","6007-2258-8336-8048","149.8","489"
"490","6706326113657723","8380.84","490"
"491","6767-7673-4982-1983-79","2580.7","491"
"492","6011-6261-8443-9324-8287","3784.41","492"
"493","4077066549100","2851.16","493"
"494","6011-4781-1683-1662","3728.79","494"
"495","3528-1422-5951-7925","5009.86","495"
"496","6304712111663324","4158.37","496"
"497","3687-877673-9416","1543.92","497"
"498","6759-9119-6749-0085","2328.23","498"
"499","3529-1670-0645-0137","9584.11","499"
"500","6011-8956-6648-5732","8341.17","500"
